Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
3026,2019-11-30,SAC,,DEN,W 100-97 (OT),265,37,96,0.385,29,63,0.46,8,33,0.242,18,21,0.857,100,36,87,0.414,25,55,0.455,11,32,0.344,14,21,0.667,97
3027,2019-12-01,BRK,,MIA,L 106-109,240,40,91,0.44,26,49,0.531,14,42,0.333,12,16,0.75,106,37,95,0.389,25,58,0.431,12,37,0.324,23,28,0.821,109
3028,2019-12-01,MIA,@,BRK,W 109-106,240,37,95,0.389,25,58,0.431,12,37,0.324,23,28,0.821,109,40,91,0.44,26,49,0.531,14,42,0.333,12,16,0.75,106
3029,2019-12-01,DET,,SAS,W 132-98,240,52,88,0.591,37,57,0.649,15,31,0.484,13,18,0.722,132,36,88,0.409,29,62,0.468,7,26,0.269,19,22,0.864,98
3030,2019-12-01,SAS,@,DET,L 98-132,240,36,88,0.409,29,62,0.468,7,26,0.269,19,22,0.864,98,52,88,0.591,37,57,0.649,15,31,0.484,13,18,0.722,132
3031,2019-12-01,LAC,,WAS,W 150-125,240,52,94,0.553,38,62,0.613,14,32,0.438,32,40,0.8,150,47,102,0.461,36,72,0.5,11,30,0.367,20,27,0.741,125
3032,2019-12-01,WAS,@,LAC,L 125-150,240,47,102,0.461,36,72,0.5,11,30,0.367,20,27,0.741,125,52,94,0.553,38,62,0.613,14,32,0.438,32,40,0.8,150
3033,2019-12-01,DAL,@,LAL,W 114-100,240,42,97,0.433,25,48,0.521,17,49,0.347,13,18,0.722,114,40,87,0.46,33,60,0.55,7,27,0.259,13,16,0.813,100
3034,2019-12-01,LAL,,DAL,L 100-114,240,40,87,0.46,33,60,0.55,7,27,0.259,13,16,0.813,100,42,97,0.433,25,48,0.521,17,49,0.347,13,18,0.722,114
3035,2019-12-01,MEM,@,MIN,W 115-107,240,41,100,0.41,25,60,0.417,16,40,0.4,17,21,0.81,115,33,85,0.388,22,49,0.449,11,36,0.306,30,35,0.857,107
3036,2019-12-01,MIN,,MEM,L 107-115,240,33,85,0.388,22,49,0.449,11,36,0.306,30,35,0.857,107,41,100,0.41,25,60,0.417,16,40,0.4,17,21,0.81,115
3037,2019-12-01,NOP,,OKC,L 104-107,240,39,87,0.448,22,49,0.449,17,38,0.447,9,10,0.9,104,38,81,0.469,27,48,0.563,11,33,0.333,20,26,0.769,107
3038,2019-12-01,OKC,@,NOP,W 107-104,240,38,81,0.469,27,48,0.563,11,33,0.333,20,26,0.769,107,39,87,0.448,22,49,0.449,17,38,0.447,9,10,0.9,104
3039,2019-12-01,BOS,@,NYK,W 113-104,240,41,93,0.441,26,52,0.5,15,41,0.366,16,22,0.727,113,35,76,0.461,27,50,0.54,8,26,0.308,26,37,0.703,104
3040,2019-12-01,NYK,,BOS,L 104-113,240,35,76,0.461,27,50,0.54,8,26,0.308,26,37,0.703,104,41,93,0.441,26,52,0.5,15,41,0.366,16,22,0.727,113
3041,2019-12-01,GSW,@,ORL,L 96-100,240,36,91,0.396,30,68,0.441,6,23,0.261,18,23,0.783,96,37,87,0.425,26,54,0.481,11,33,0.333,15,22,0.682,100
3042,2019-12-01,ORL,,GSW,W 100-96,240,37,87,0.425,26,54,0.481,11,33,0.333,15,22,0.682,100,36,91,0.396,30,68,0.441,6,23,0.261,18,23,0.783,96
3043,2019-12-01,TOR,,UTA,W 130-110,240,47,90,0.522,28,54,0.519,19,36,0.528,17,21,0.81,130,38,90,0.422,25,55,0.455,13,35,0.371,21,29,0.724,110
3044,2019-12-01,UTA,@,TOR,L 110-130,240,38,90,0.422,25,55,0.455,13,35,0.371,21,29,0.724,110,47,90,0.522,28,54,0.519,19,36,0.528,17,21,0.81,130
3045,2019-12-02,ATL,,GSW,W 104-79,240,41,89,0.461,33,60,0.55,8,29,0.276,14,15,0.933,104,33,83,0.398,30,66,0.455,3,17,0.176,10,12,0.833,79
3046,2019-12-02,GSW,@,ATL,L 79-104,240,33,83,0.398,30,66,0.455,3,17,0.176,10,12,0.833,79,41,89,0.461,33,60,0.55,8,29,0.276,14,15,0.933,104
3047,2019-12-02,CHO,,PHO,L 104-109,240,38,84,0.452,31,59,0.525,7,25,0.28,21,26,0.808,104,39,88,0.443,30,46,0.652,9,42,0.214,22,30,0.733,109
3048,2019-12-02,PHO,@,CHO,W 109-104,240,39,88,0.443,30,46,0.652,9,42,0.214,22,30,0.733,109,38,84,0.452,31,59,0.525,7,25,0.28,21,26,0.808,104
3049,2019-12-02,IND,@,MEM,W 117-104,240,44,88,0.5,28,50,0.56,16,38,0.421,13,15,0.867,117,38,89,0.427,28,51,0.549,10,38,0.263,18,19,0.947,104
3050,2019-12-02,MEM,,IND,L 104-117,240,38,89,0.427,28,51,0.549,10,38,0.263,18,19,0.947,104,44,88,0.5,28,50,0.56,16,38,0.421,13,15,0.867,117
3051,2019-12-02,MIL,,NYK,W 132-88,240,48,86,0.558,32,51,0.627,16,35,0.457,20,32,0.625,132,28,91,0.308,18,52,0.346,10,39,0.256,22,33,0.667,88
3052,2019-12-02,NYK,@,MIL,L 88-132,240,28,91,0.308,18,52,0.346,10,39,0.256,22,33,0.667,88,48,86,0.558,32,51,0.627,16,35,0.457,20,32,0.625,132
3053,2019-12-02,PHI,,UTA,W 103-94,240,37,91,0.407,24,65,0.369,13,26,0.5,16,23,0.696,103,38,81,0.469,33,59,0.559,5,22,0.227,13,20,0.65,94
3054,2019-12-02,UTA,@,PHI,L 94-103,240,38,81,0.469,33,59,0.559,5,22,0.227,13,20,0.65,94,37,91,0.407,24,65,0.369,13,26,0.5,16,23,0.696,103
3055,2019-12-02,CHI,@,SAC,W 113-106,240,36,75,0.48,20,38,0.526,16,37,0.432,25,29,0.862,113,40,83,0.482,31,50,0.62,9,33,0.273,17,20,0.85,106
3056,2019-12-02,SAC,,CHI,L 106-113,240,40,83,0.482,31,50,0.62,9,33,0.273,17,20,0.85,106,36,75,0.48,20,38,0.526,16,37,0.432,25,29,0.862,113
3057,2019-12-03,CLE,,DET,L 94-127,240,38,90,0.422,30,63,0.476,8,27,0.296,10,14,0.714,94,51,94,0.543,33,59,0.559,18,35,0.514,7,11,0.636,127
3058,2019-12-03,DET,@,CLE,W 127-94,240,51,94,0.543,33,59,0.559,18,35,0.514,7,11,0.636,127,38,90,0.422,30,63,0.476,8,27,0.296,10,14,0.714,94
3059,2019-12-03,DEN,,LAL,L 96-105,240,37,91,0.407,31,62,0.5,6,29,0.207,16,17,0.941,96,39,84,0.464,32,60,0.533,7,24,0.292,20,30,0.667,105
3060,2019-12-03,LAL,@,DEN,W 105-96,240,39,84,0.464,32,60,0.533,7,24,0.292,20,30,0.667,105,37,91,0.407,31,62,0.5,6,29,0.207,16,17,0.941,96
3061,2019-12-03,LAC,,POR,W 117-97,240,43,94,0.457,26,60,0.433,17,34,0.5,14,25,0.56,117,39,91,0.429,32,64,0.5,7,27,0.259,12,15,0.8,97
3062,2019-12-03,POR,@,LAC,L 97-117,240,39,91,0.429,32,64,0.5,7,27,0.259,12,15,0.8,97,43,94,0.457,26,60,0.433,17,34,0.5,14,25,0.56,117
3063,2019-12-03,DAL,@,NOP,W 118-97,240,38,88,0.432,19,43,0.442,19,45,0.422,23,27,0.852,118,38,94,0.404,27,53,0.509,11,41,0.268,10,15,0.667,97
3064,2019-12-03,NOP,,DAL,L 97-118,240,38,94,0.404,27,53,0.509,11,41,0.268,10,15,0.667,97,38,88,0.432,19,43,0.442,19,45,0.422,23,27,0.852,118
3065,2019-12-03,HOU,@,SAS,L 133-135 (2OT),290,42,111,0.378,27,60,0.45,15,51,0.294,34,36,0.944,133,50,106,0.472,37,76,0.487,13,30,0.433,22,32,0.688,135
3066,2019-12-03,SAS,,HOU,W 135-133 (2OT),290,50,106,0.472,37,76,0.487,13,30,0.433,22,32,0.688,135,42,111,0.378,27,60,0.45,15,51,0.294,34,36,0.944,133
3067,2019-12-03,MIA,@,TOR,W 121-110 (OT),265,45,99,0.455,30,61,0.492,15,38,0.395,16,21,0.762,121,35,91,0.385,24,48,0.5,11,43,0.256,29,36,0.806,110
3068,2019-12-03,TOR,,MIA,L 110-121 (OT),265,35,91,0.385,24,48,0.5,11,43,0.256,29,36,0.806,110,45,99,0.455,30,61,0.492,15,38,0.395,16,21,0.762,121
3069,2019-12-03,ORL,@,WAS,W 127-120,240,46,90,0.511,31,59,0.525,15,31,0.484,20,27,0.741,127,45,89,0.506,33,54,0.611,12,35,0.343,18,23,0.783,120
3070,2019-12-03,WAS,,ORL,L 120-127,240,45,89,0.506,33,54,0.611,12,35,0.343,18,23,0.783,120,46,90,0.511,31,59,0.525,15,31,0.484,20,27,0.741,127
3071,2019-12-04,ATL,,BRK,L 118-130,240,48,90,0.533,39,64,0.609,9,26,0.346,13,21,0.619,118,50,101,0.495,36,70,0.514,14,31,0.452,16,18,0.889,130
3072,2019-12-04,BRK,@,ATL,W 130-118,240,50,101,0.495,36,70,0.514,14,31,0.452,16,18,0.889,130,48,90,0.533,39,64,0.609,9,26,0.346,13,21,0.619,118
3073,2019-12-04,BOS,,MIA,W 112-93,240,35,79,0.443,19,38,0.5,16,41,0.39,26,32,0.813,112,34,77,0.442,20,39,0.513,14,38,0.368,11,17,0.647,93
3074,2019-12-04,MIA,@,BOS,L 93-112,240,34,77,0.442,20,39,0.513,14,38,0.368,11,17,0.647,93,35,79,0.443,19,38,0.5,16,41,0.39,26,32,0.813,112
3075,2019-12-04,CHI,,MEM,W 106-99,240,33,77,0.429,20,44,0.455,13,33,0.394,27,37,0.73,106,37,96,0.385,30,66,0.455,7,30,0.233,18,21,0.857,99
3076,2019-12-04,MEM,@,CHI,L 99-106,240,37,96,0.385,30,66,0.455,7,30,0.233,18,21,0.857,99,33,77,0.429,20,44,0.455,13,33,0.394,27,37,0.73,106
3077,2019-12-04,CHO,,GSW,W 106-91,240,40,87,0.46,19,39,0.487,21,48,0.438,5,8,0.625,106,36,78,0.462,27,55,0.491,9,23,0.391,10,15,0.667,91
3078,2019-12-04,GSW,@,CHO,L 91-106,240,36,78,0.462,27,55,0.491,9,23,0.391,10,15,0.667,91,40,87,0.46,19,39,0.487,21,48,0.438,5,8,0.625,106
3079,2019-12-04,DAL,,MIN,W 121-114,240,46,92,0.5,35,55,0.636,11,37,0.297,18,23,0.783,121,37,89,0.416,20,51,0.392,17,38,0.447,23,26,0.885,114
3080,2019-12-04,MIN,@,DAL,L 114-121,240,37,89,0.416,20,51,0.392,17,38,0.447,23,26,0.885,114,46,92,0.5,35,55,0.636,11,37,0.297,18,23,0.783,121
3081,2019-12-04,DET,,MIL,L 103-127,240,39,93,0.419,28,57,0.491,11,36,0.306,14,22,0.636,103,44,90,0.489,30,55,0.545,14,35,0.4,25,27,0.926,127
3082,2019-12-04,MIL,@,DET,W 127-103,240,44,90,0.489,30,55,0.545,14,35,0.4,25,27,0.926,127,39,93,0.419,28,57,0.491,11,36,0.306,14,22,0.636,103
3083,2019-12-04,IND,@,OKC,W 107-100,240,42,87,0.483,33,63,0.524,9,24,0.375,14,17,0.824,107,41,84,0.488,32,58,0.552,9,26,0.346,9,10,0.9,100
3084,2019-12-04,OKC,,IND,L 100-107,240,41,84,0.488,32,58,0.552,9,26,0.346,9,10,0.9,100,42,87,0.483,33,63,0.524,9,24,0.375,14,17,0.824,107
3085,2019-12-04,ORL,,PHO,W 128-114,240,49,85,0.576,35,60,0.583,14,25,0.56,16,20,0.8,128,43,88,0.489,28,55,0.509,15,33,0.455,13,20,0.65,114
3086,2019-12-04,PHO,@,ORL,L 114-128,240,43,88,0.489,28,55,0.509,15,33,0.455,13,20,0.65,114,49,85,0.576,35,60,0.583,14,25,0.56,16,20,0.8,128
3087,2019-12-04,POR,,SAC,W 127-116,240,47,84,0.56,31,52,0.596,16,32,0.5,17,21,0.81,127,44,95,0.463,33,61,0.541,11,34,0.324,17,23,0.739,116
3088,2019-12-04,SAC,@,POR,L 116-127,240,44,95,0.463,33,61,0.541,11,34,0.324,17,23,0.739,116,47,84,0.56,31,52,0.596,16,32,0.5,17,21,0.81,127
3089,2019-12-04,LAL,@,UTA,W 121-96,240,46,90,0.511,32,61,0.525,14,29,0.483,15,25,0.6,121,34,83,0.41,20,52,0.385,14,31,0.452,14,19,0.737,96
3090,2019-12-04,UTA,,LAL,L 96-121,240,34,83,0.41,20,52,0.385,14,31,0.452,14,19,0.737,96,46,90,0.511,32,61,0.525,14,29,0.483,15,25,0.6,121
3091,2019-12-05,NOP,,PHO,L 132-139 (OT),265,44,87,0.506,27,46,0.587,17,41,0.415,27,35,0.771,132,50,106,0.472,36,70,0.514,14,36,0.389,25,27,0.926,139
3092,2019-12-05,PHO,@,NOP,W 139-132 (OT),265,50,106,0.472,36,70,0.514,14,36,0.389,25,27,0.926,139,44,87,0.506,27,46,0.587,17,41,0.415,27,35,0.771,132
3093,2019-12-05,DEN,@,NYK,W 129-92,240,49,87,0.563,28,48,0.583,21,39,0.538,10,18,0.556,129,34,83,0.41,25,49,0.51,9,34,0.265,15,23,0.652,92
3094,2019-12-05,NYK,,DEN,L 92-129,240,34,83,0.41,25,49,0.51,9,34,0.265,15,23,0.652,92,49,87,0.563,28,48,0.583,21,39,0.538,10,18,0.556,129
3095,2019-12-05,HOU,@,TOR,W 119-109,240,40,98,0.408,18,43,0.419,22,55,0.4,17,19,0.895,119,38,88,0.432,26,49,0.531,12,39,0.308,21,24,0.875,109
3096,2019-12-05,TOR,,HOU,L 109-119,240,38,88,0.432,26,49,0.531,12,39,0.308,21,24,0.875,109,40,98,0.408,18,43,0.419,22,55,0.4,17,19,0.895,119
3097,2019-12-05,PHI,@,WAS,L 113-119,240,41,77,0.532,28,49,0.571,13,28,0.464,18,24,0.75,113,41,90,0.456,30,63,0.476,11,27,0.407,26,32,0.813,119
3098,2019-12-05,WAS,,PHI,W 119-113,240,41,90,0.456,30,63,0.476,11,27,0.407,26,32,0.813,119,41,77,0.532,28,49,0.571,13,28,0.464,18,24,0.75,113
3099,2019-12-06,BOS,,DEN,W 108-95,240,44,82,0.537,31,47,0.66,13,35,0.371,7,8,0.875,108,39,94,0.415,34,64,0.531,5,30,0.167,12,15,0.8,95
3100,2019-12-06,DEN,@,BOS,L 95-108,240,39,94,0.415,34,64,0.531,5,30,0.167,12,15,0.8,95,44,82,0.537,31,47,0.66,13,35,0.371,7,8,0.875,108
3101,2019-12-06,CHI,,GSW,L 98-100,240,39,88,0.443,22,47,0.468,17,41,0.415,3,5,0.6,98,38,71,0.535,29,47,0.617,9,24,0.375,15,22,0.682,100
3102,2019-12-06,GSW,@,CHI,W 100-98,240,38,71,0.535,29,47,0.617,9,24,0.375,15,22,0.682,100,39,88,0.443,22,47,0.468,17,41,0.415,3,5,0.6,98
3103,2019-12-06,BRK,@,CHO,W 111-104,240,42,88,0.477,27,50,0.54,15,38,0.395,12,15,0.8,111,36,83,0.434,19,43,0.442,17,40,0.425,15,17,0.882,104
3104,2019-12-06,CHO,,BRK,L 104-111,240,36,83,0.434,19,43,0.442,17,40,0.425,15,17,0.882,104,42,88,0.477,27,50,0.54,15,38,0.395,12,15,0.8,111
3105,2019-12-06,CLE,,ORL,L 87-93,240,35,83,0.422,25,49,0.51,10,34,0.294,7,10,0.7,87,32,82,0.39,23,56,0.411,9,26,0.346,20,23,0.87,93
3106,2019-12-06,ORL,@,CLE,W 93-87,240,32,82,0.39,23,56,0.411,9,26,0.346,20,23,0.87,93,35,83,0.422,25,49,0.51,10,34,0.294,7,10,0.7,87
3107,2019-12-06,DET,,IND,W 108-101,240,39,87,0.448,28,62,0.452,11,25,0.44,19,26,0.731,108,38,83,0.458,29,59,0.492,9,24,0.375,16,20,0.8,101
3108,2019-12-06,IND,@,DET,L 101-108,240,38,83,0.458,29,59,0.492,9,24,0.375,16,20,0.8,101,39,87,0.448,28,62,0.452,11,25,0.44,19,26,0.731,108
3109,2019-12-06,MIA,,WAS,W 112-103,240,42,86,0.488,32,58,0.552,10,28,0.357,18,24,0.75,112,39,91,0.429,27,52,0.519,12,39,0.308,13,14,0.929,103
3110,2019-12-06,WAS,@,MIA,L 103-112,240,39,91,0.429,27,52,0.519,12,39,0.308,13,14,0.929,103,42,86,0.488,32,58,0.552,10,28,0.357,18,24,0.75,112
3111,2019-12-06,LAC,@,MIL,L 91-119,240,33,94,0.351,25,62,0.403,8,32,0.25,17,19,0.895,91,44,94,0.468,30,58,0.517,14,36,0.389,17,21,0.81,119
3112,2019-12-06,MIL,,LAC,W 119-91,240,44,94,0.468,30,58,0.517,14,36,0.389,17,21,0.81,119,33,94,0.351,25,62,0.403,8,32,0.25,17,19,0.895,91
3113,2019-12-06,MIN,@,OKC,L 127-139 (OT),265,50,96,0.521,37,58,0.638,13,38,0.342,14,20,0.7,127,49,88,0.557,44,70,0.629,5,18,0.278,36,40,0.9,139
3114,2019-12-06,OKC,,MIN,W 139-127 (OT),265,49,88,0.557,44,70,0.629,5,18,0.278,36,40,0.9,139,50,96,0.521,37,58,0.638,13,38,0.342,14,20,0.7,127
3115,2019-12-06,LAL,@,POR,W 136-113,240,46,85,0.541,29,49,0.592,17,36,0.472,27,33,0.818,136,39,86,0.453,29,52,0.558,10,34,0.294,25,29,0.862,113
3116,2019-12-06,POR,,LAL,L 113-136,240,39,86,0.453,29,52,0.558,10,34,0.294,25,29,0.862,113,46,85,0.541,29,49,0.592,17,36,0.472,27,33,0.818,136
3117,2019-12-06,SAC,@,SAS,L 104-105 (OT),265,40,102,0.392,31,68,0.456,9,34,0.265,15,18,0.833,104,41,96,0.427,30,64,0.469,11,32,0.344,12,17,0.706,105
3118,2019-12-06,SAS,,SAC,W 105-104 (OT),265,41,96,0.427,30,64,0.469,11,32,0.344,12,17,0.706,105,40,102,0.392,31,68,0.456,9,34,0.265,15,18,0.833,104
3119,2019-12-07,DAL,,NOP,W 130-84,240,46,86,0.535,33,48,0.688,13,38,0.342,25,31,0.806,130,32,89,0.36,29,57,0.509,3,32,0.094,17,21,0.81,84
3120,2019-12-07,NOP,@,DAL,L 84-130,240,32,89,0.36,29,57,0.509,3,32,0.094,17,21,0.81,84,46,86,0.535,33,48,0.688,13,38,0.342,25,31,0.806,130
3121,2019-12-07,HOU,,PHO,W 115-109,240,41,91,0.451,30,51,0.588,11,40,0.275,22,30,0.733,115,40,96,0.417,29,61,0.475,11,35,0.314,18,28,0.643,109
3122,2019-12-07,PHO,@,HOU,L 109-115,240,40,96,0.417,29,61,0.475,11,35,0.314,18,28,0.643,109,41,91,0.451,30,51,0.588,11,40,0.275,22,30,0.733,115
3123,2019-12-07,IND,@,NYK,W 104-103,240,41,85,0.482,29,57,0.509,12,28,0.429,10,13,0.769,104,39,96,0.406,29,65,0.446,10,31,0.323,15,21,0.714,103
3124,2019-12-07,NYK,,IND,L 103-104,240,39,96,0.406,29,65,0.446,10,31,0.323,15,21,0.714,103,41,85,0.482,29,57,0.509,12,28,0.429,10,13,0.769,104
3125,2019-12-07,CLE,@,PHI,L 94-141,240,36,96,0.375,27,61,0.443,9,35,0.257,13,17,0.765,94,57,90,0.633,46,64,0.719,11,26,0.423,16,23,0.696,141
3126,2019-12-07,PHI,,CLE,W 141-94,240,57,90,0.633,46,64,0.719,11,26,0.423,16,23,0.696,141,36,96,0.375,27,61,0.443,9,35,0.257,13,17,0.765,94
3127,2019-12-07,MEM,@,UTA,L 112-126,240,43,81,0.531,33,46,0.717,10,35,0.286,16,25,0.64,112,45,80,0.563,26,46,0.565,19,34,0.559,17,18,0.944,126
3128,2019-12-07,UTA,,MEM,W 126-112,240,45,80,0.563,26,46,0.565,19,34,0.559,17,18,0.944,126,43,81,0.531,33,46,0.717,10,35,0.286,16,25,0.64,112
3129,2019-12-08,BRK,,DEN,W 105-102,240,40,87,0.46,33,59,0.559,7,28,0.25,18,23,0.783,105,36,89,0.404,18,47,0.383,18,42,0.429,12,14,0.857,102
3130,2019-12-08,DEN,@,BRK,L 102-105,240,36,89,0.404,18,47,0.383,18,42,0.429,12,14,0.857,102,40,87,0.46,33,59,0.559,7,28,0.25,18,23,0.783,105
3131,2019-12-08,ATL,@,CHO,W 122-107,240,44,91,0.484,26,46,0.565,18,45,0.4,16,17,0.941,122,36,90,0.4,25,59,0.424,11,31,0.355,24,29,0.828,107
3132,2019-12-08,CHO,,ATL,L 107-122,240,36,90,0.4,25,59,0.424,11,31,0.355,24,29,0.828,107,44,91,0.484,26,46,0.565,18,45,0.4,16,17,0.941,122
3133,2019-12-08,DAL,,SAC,L 106-110,240,41,86,0.477,24,42,0.571,17,44,0.386,7,8,0.875,106,44,85,0.518,31,51,0.608,13,34,0.382,9,11,0.818,110
3134,2019-12-08,SAC,@,DAL,W 110-106,240,44,85,0.518,31,51,0.608,13,34,0.382,9,11,0.818,110,41,86,0.477,24,42,0.571,17,44,0.386,7,8,0.875,106
3135,2019-12-08,LAL,,MIN,W 142-125,240,55,94,0.585,41,63,0.651,14,31,0.452,18,20,0.9,142,44,84,0.524,29,47,0.617,15,37,0.405,22,26,0.846,125
3136,2019-12-08,MIN,@,LAL,L 125-142,240,44,84,0.524,29,47,0.617,15,37,0.405,22,26,0.846,125,55,94,0.585,41,63,0.651,14,31,0.452,18,20,0.9,142
3137,2019-12-08,CHI,@,MIA,L 105-110 (OT),265,35,80,0.438,22,44,0.5,13,36,0.361,22,27,0.815,105,32,77,0.416,21,42,0.5,11,35,0.314,35,44,0.795,110
3138,2019-12-08,MIA,,CHI,W 110-105 (OT),265,32,77,0.416,21,42,0.5,11,35,0.314,35,44,0.795,110,35,80,0.438,22,44,0.5,13,36,0.361,22,27,0.815,105
3139,2019-12-08,PHI,,TOR,W 110-104,240,40,79,0.506,26,47,0.553,14,32,0.438,16,21,0.762,110,38,88,0.432,27,55,0.491,11,33,0.333,17,20,0.85,104
3140,2019-12-08,TOR,@,PHI,L 104-110,240,38,88,0.432,27,55,0.491,11,33,0.333,17,20,0.85,104,40,79,0.506,26,47,0.553,14,32,0.438,16,21,0.762,110
3141,2019-12-08,OKC,@,POR,W 108-96,240,35,85,0.412,24,53,0.453,11,32,0.344,27,34,0.794,108,36,100,0.36,27,67,0.403,9,33,0.273,15,18,0.833,96
3142,2019-12-08,POR,,OKC,L 96-108,240,36,100,0.36,27,67,0.403,9,33,0.273,15,18,0.833,96,35,85,0.412,24,53,0.453,11,32,0.344,27,34,0.794,108
3143,2019-12-08,LAC,@,WAS,W 135-119,240,50,96,0.521,35,56,0.625,15,40,0.375,20,27,0.741,135,40,88,0.455,26,55,0.473,14,33,0.424,25,30,0.833,119
3144,2019-12-08,WAS,,LAC,L 119-135,240,40,88,0.455,26,55,0.473,14,33,0.424,25,30,0.833,119,50,96,0.521,35,56,0.625,15,40,0.375,20,27,0.741,135
3145,2019-12-09,BOS,,CLE,W 110-88,240,45,78,0.577,30,51,0.588,15,27,0.556,5,8,0.625,110,36,91,0.396,29,60,0.483,7,31,0.226,9,19,0.474,88
3146,2019-12-09,CLE,@,BOS,L 88-110,240,36,91,0.396,29,60,0.483,7,31,0.226,9,19,0.474,88,45,78,0.577,30,51,0.588,15,27,0.556,5,8,0.625,110
3147,2019-12-09,CHI,,TOR,L 92-93,240,35,89,0.393,23,43,0.535,12,46,0.261,10,14,0.714,92,34,90,0.378,27,61,0.443,7,29,0.241,18,26,0.692,93
3148,2019-12-09,TOR,@,CHI,W 93-92,240,34,90,0.378,27,61,0.443,7,29,0.241,18,26,0.692,93,35,89,0.393,23,43,0.535,12,46,0.261,10,14,0.714,92
3149,2019-12-09,GSW,,MEM,L 102-110,240,35,93,0.376,24,66,0.364,11,27,0.407,21,25,0.84,102,41,82,0.5,26,42,0.619,15,40,0.375,13,17,0.765,110
3150,2019-12-09,MEM,@,GSW,W 110-102,240,41,82,0.5,26,42,0.619,15,40,0.375,13,17,0.765,110,35,93,0.376,24,66,0.364,11,27,0.407,21,25,0.84,102
3151,2019-12-09,HOU,,SAC,L 118-119,240,41,84,0.488,24,34,0.706,17,50,0.34,19,23,0.826,118,40,88,0.455,20,43,0.465,20,45,0.444,19,22,0.864,119
3152,2019-12-09,SAC,@,HOU,W 119-118,240,40,88,0.455,20,43,0.465,20,45,0.444,19,22,0.864,119,41,84,0.488,24,34,0.706,17,50,0.34,19,23,0.826,118
3153,2019-12-09,IND,,LAC,L 99-110,240,34,97,0.351,24,62,0.387,10,35,0.286,21,28,0.75,99,40,97,0.412,30,65,0.462,10,32,0.313,20,27,0.741,110
3154,2019-12-09,LAC,@,IND,W 110-99,240,40,97,0.412,30,65,0.462,10,32,0.313,20,27,0.741,110,34,97,0.351,24,62,0.387,10,35,0.286,21,28,0.75,99
3155,2019-12-09,MIL,,ORL,W 110-101,240,43,92,0.467,27,51,0.529,16,41,0.39,8,15,0.533,110,35,92,0.38,25,61,0.41,10,31,0.323,21,26,0.808,101
3156,2019-12-09,ORL,@,MIL,L 101-110,240,35,92,0.38,25,61,0.41,10,31,0.323,21,26,0.808,101,43,92,0.467,27,51,0.529,16,41,0.39,8,15,0.533,110
3157,2019-12-09,DET,@,NOP,W 105-103,240,36,85,0.424,25,50,0.5,11,35,0.314,22,27,0.815,105,40,91,0.44,32,53,0.604,8,38,0.211,15,22,0.682,103
3158,2019-12-09,NOP,,DET,L 103-105,240,40,91,0.44,32,53,0.604,8,38,0.211,15,22,0.682,103,36,85,0.424,25,50,0.5,11,35,0.314,22,27,0.815,105
3159,2019-12-09,MIN,@,PHO,L 109-125,240,40,85,0.471,34,63,0.54,6,22,0.273,23,29,0.793,109,47,95,0.495,31,55,0.564,16,40,0.4,15,19,0.789,125
3160,2019-12-09,PHO,,MIN,W 125-109,240,47,95,0.495,31,55,0.564,16,40,0.4,15,19,0.789,125,40,85,0.471,34,63,0.54,6,22,0.273,23,29,0.793,109
3161,2019-12-09,OKC,@,UTA,W 104-90,240,40,85,0.471,32,57,0.561,8,28,0.286,16,19,0.842,104,36,89,0.404,28,58,0.483,8,31,0.258,10,12,0.833,90
3162,2019-12-09,UTA,,OKC,L 90-104,240,36,89,0.404,28,58,0.483,8,31,0.258,10,12,0.833,90,40,85,0.471,32,57,0.561,8,28,0.286,16,19,0.842,104
3163,2019-12-10,CHO,,WAS,W 114-107,240,38,85,0.447,22,44,0.5,16,41,0.39,22,28,0.786,114,38,90,0.422,27,55,0.491,11,35,0.314,20,25,0.8,107
3164,2019-12-10,WAS,@,CHO,L 107-114,240,38,90,0.422,27,55,0.491,11,35,0.314,20,25,0.8,107,38,85,0.447,22,44,0.5,16,41,0.39,22,28,0.786,114
3165,2019-12-10,ATL,@,MIA,L 121-135 (OT),265,45,95,0.474,25,41,0.61,20,54,0.37,11,18,0.611,121,53,103,0.515,39,62,0.629,14,41,0.341,15,22,0.682,135
3166,2019-12-10,MIA,,ATL,W 135-121 (OT),265,53,103,0.515,39,62,0.629,14,41,0.341,15,22,0.682,135,45,95,0.474,25,41,0.61,20,54,0.37,11,18,0.611,121
3167,2019-12-10,DEN,@,PHI,L 92-97,240,37,85,0.435,30,58,0.517,7,27,0.259,11,12,0.917,92,37,89,0.416,25,53,0.472,12,36,0.333,11,16,0.688,97
3168,2019-12-10,PHI,,DEN,W 97-92,240,37,89,0.416,25,53,0.472,12,36,0.333,11,16,0.688,97,37,85,0.435,30,58,0.517,7,27,0.259,11,12,0.917,92
3169,2019-12-10,NYK,@,POR,L 87-115,240,32,91,0.352,25,53,0.472,7,38,0.184,16,26,0.615,87,39,90,0.433,22,49,0.449,17,41,0.415,20,24,0.833,115
